635nm,520nm,405nm,jihe,cat,real
30.0077,29.9962,29.9779,30.1811,0,30.188
30.0176,30.0049,29.9863,30.1921,0,30.1998
30.0301,30.0189,30.001,30.2014,0,30.2115
30.038,30.0258,30.0079,30.2118,0,30.2207
30.0477,30.0362,30.0185,30.2218,0,30.2279
30.0578,30.0451,30.0274,30.2319,0,30.2397
30.0689,30.0577,30.0401,30.2418,0,30.252
30.0784,30.0654,30.0468,30.2514,0,30.2584
30.0886,30.0768,30.0585,30.2609,0,30.2675
30.0976,30.0857,30.0673,30.2709,0,30.283
30.1089,30.0978,30.0794,30.282,0,30.2913
30.1184,30.1057,30.0877,30.2912,0,30.3019
30.1284,30.1168,30.0983,30.3005,0,30.3092
30.1383,30.1266,30.1084,30.3121,0,30.3216
30.149,30.1377,30.1192,30.3217,0,30.3324
30.1588,30.1461,30.128,30.3307,0,30.3413
30.1689,30.1568,30.1385,30.3422,0,30.3507
30.1793,30.1675,30.1496,30.352,0,30.3603
30.188,30.1764,30.1585,30.3618,0,30.3725
30.1989,30.187,30.1694,30.372,0,30.3771
30.21,30.1984,30.1802,30.3821,0,30.3904
30.2194,30.2078,30.1901,30.3924,0,30.399
30.23,30.2185,30.2001,30.4005,0,30.4098
30.2394,30.2275,30.2097,30.4107,0,30.4205
30.2483,30.2369,30.2188,30.421,0,30.4314
30.2599,30.2471,30.2294,30.4314,0,30.4397
30.2702,30.2585,30.2409,30.4406,0,30.4498
30.2799,30.2668,30.2483,30.4517,0,30.463
30.2885,30.2755,30.2574,30.4611,0,30.4665
30.2994,30.2875,30.2695,30.472,0,30.4789
30.3102,30.2976,30.2799,30.4825,0,30.4882
30.3193,30.3077,30.2894,30.4912,0,30.497
30.3293,30.318,30.3001,30.5019,0,30.5127
30.3383,30.3265,30.308,30.5109,0,30.519
30.3477,30.3365,30.3184,30.5225,0,30.5272
30.3582,30.3465,30.328,30.5307,0,30.5387
30.3679,30.3555,30.337,30.5423,0,30.5525
30.3793,30.3667,30.3482,30.5518,0,30.5564
30.3899,30.3779,30.3598,30.5617,0,30.5689
30.3994,30.3873,30.3694,30.5709,0,30.5785
30.4096,30.3972,30.3795,30.5819,0,30.5914
30.4189,30.4065,30.3883,30.5909,0,30.6027
30.4288,30.4167,30.399,30.6023,0,30.6081
30.44,30.4288,30.4111,30.6116,0,30.6198
30.4483,30.4358,30.4174,30.6217,0,30.6326
30.4583,30.4456,30.428,30.6323,0,30.6397
30.468,30.4562,30.438,30.6413,0,30.6525
30.4801,30.4687,30.4507,30.6523,0,30.6579
30.4883,30.4762,30.4582,30.6608,0,30.6698
30.499,30.4865,30.4686,30.671,0,30.6799
30.5095,30.4973,30.4789,30.6816,0,30.6901
30.5187,30.5057,30.4881,30.6915,0,30.7019
30.5288,30.5159,30.4978,30.701,0,30.7116
30.5394,30.5271,30.509,30.7109,0,30.7197
30.5488,30.5367,30.5186,30.721,0,30.7323
30.5602,30.549,30.5306,30.7318,0,30.7429
30.5688,30.5575,30.5394,30.7423,0,30.7496
30.5789,30.5671,30.5487,30.7524,0,30.7597
30.5876,30.5761,30.5585,30.7612,0,30.7731
30.5988,30.5873,30.5695,30.7718,0,30.7786
30.6089,30.5975,30.5793,30.7817,0,30.7904
30.6181,30.6069,30.5888,30.7915,0,30.8013
30.6281,30.6166,30.5988,30.8009,0,30.8122
30.6392,30.6266,30.6083,30.812,0,30.8209
30.6477,30.6352,30.6168,30.8207,0,30.8311
30.6587,30.6461,30.6284,30.8315,0,30.8394
30.6698,30.6575,30.6391,30.8416,0,30.8528
30.6777,30.6665,30.6487,30.8522,0,30.8594
30.6888,30.6763,30.6584,30.8607,0,30.8726
30.6997,30.6884,30.6704,30.8713,0,30.8823
30.7092,30.6979,30.6802,30.8818,0,30.8931
30.7183,30.7057,30.6873,30.8919,0,30.9018
30.7293,30.7167,30.699,30.9011,0,30.9096
30.738,30.7257,30.7078,30.9107,0,30.9187
30.7496,30.7375,30.7195,30.9224,0,30.9286
30.7591,30.7478,30.7302,30.9317,0,30.9417
30.768,30.7562,30.7381,30.9408,0,30.9492
30.7796,30.7678,30.7498,30.9519,0,30.958
30.7878,30.7751,30.7574,30.9612,0,30.9711
30.7978,30.7857,30.7679,30.971,0,30.9819
30.8082,30.7969,30.7791,30.9816,0,30.991
30.8194,30.8072,30.7888,30.9911,0,31.0005
29.4867,29.4675,29.4459,29.96,1,30.0002
29.4715,29.452,29.4279,29.972,1,30.011
29.5093,29.4911,29.4701,29.984,1,30.018
29.5117,29.492,29.4671,29.993,1,30.0297
29.5192,29.4999,29.4797,30.0024,1,30.0413
29.5111,29.4915,29.4697,30.0084,1,30.0506
29.5389,29.519,29.4944,30.0156,1,30.06
29.5582,29.5395,29.5171,30.0327,1,30.0697
29.5416,29.5217,29.4998,30.0368,1,30.0792
29.5613,29.542,29.5181,30.0497,1,30.093
29.5872,29.569,29.5483,30.0645,1,30.0995
29.5751,29.5565,29.5355,30.0674,1,30.1069
29.6005,29.5818,29.5581,30.0801,1,30.1174
29.609,29.5896,29.5663,30.0917,1,30.1304
29.6032,29.5837,29.5602,30.0924,1,30.1395
29.6242,29.6057,29.5848,30.1035,1,30.1521
